Customer ID	Country	State	City	ZIP	Address
RR-19525	USA	NM	Acoma Pueblo	87049	"667 Eastland Ave Se,5Th Floor"
BS-11365	USA	UT	Ogden	84405	80 B Veterans Blvd
JE-15745	USA	UT	Ogden	84403	5475 South 500 East
DP-13105	USA	TX	Comanche	76442	4401 Harrison Boulevard
NP-18700	USA	UT	Saint George	84770	10201 Hwy 16 N
AH-30	USA	UT	Saint George	84790	544 South 400 East (Flood St)
DM-13015	USA	AZ	Tucson	85704	1380 East Medical Center Drive
GT-14635	USA	UT	North Logan	84341	"6050 North Corona Rd,Suite 3"
PO-18865	USA	TX	Lakeway	78734	2380 North 400 East
DL-12865	USA	AZ	Cottonwood	86326	2000 Medical Drive
JB-16000	USA	AZ	Prescott Valley	86314	269 S Candy Lane
BF-11005	USA	OH	Lodi	44254	3347 Windsong Drive
VG-21805	USA	OH	Wadsworth	44281	225 Elyria Street
GT-14710	USA	OH	Coldwater	45828	195 Wadsworth Road
ZC-21910	USA	OH	Troy	45373	800 West Main Street
SC-20095	USA	UT	Logan	84341	3130 North County Road 25A
EB-13840	USA	UT	Price	84501	500 East 1400 North
AP-10915	USA	UT	Beaver	84713	300 North Hospital Drive
SW-20275	USA	UT	Panguitch	84759	1109 North 100 West Street
JH-15820	USA	OH	Dayton	45417	200 North 400 East
LC-16885	USA	UT	Roosevelt	84066	One Elizabeth Place
TG-11640	USA	UT	Roosevelt	84066	250 West 300 North
HR-14830	USA	UT	Bountiful	84010	187 West Lagoon Street
DG-3300	USA	UT	Bountiful	84010	401 South 400 East
SG-20470	USA	UT	Layton	84041	630 Medical Drive
FH-14365	USA	AZ	Wickenburg	85390	1600 West Antelope Drive
GP-14740	USA	NV	Las Vegas	89119	1245 Jack Burden Road
MW-18220	USA	OH	Dayton	45417	2250 E Flamingo Rd
PO-18850	USA	UT	Woods Cross	84010	One Elizabeth Place
CS-12460	USA	UT	Vernal	84078	592 West 1350 South
KD-16495	USA	OH	Centerville	45459	151 West 200 North
MS-17980	USA	OH	Mansfield	44903	2400 Miami Valley Drive
KC-16675	USA	OR	Madras	97741	335 Glessner Avenue
DB-13405	USA	OH	Dayton	45405	470 Ne A Street
JD-15895	USA	UT	Payson	84651	405 Grand Avenue
DK-13090	USA	IA	Des Moines	50310	1000 East 100 North (Hwy198)
CS-11845	USA	IN	Tell City	47586	1818 48Th Street
EM-14200	USA	OH	Kettering	45429	One Hospital Rd
DW-3480	USA	UT	Provo	84604	3535 Southern Boulevard
AS-10225	USA	UT	American Fork	84003	1034 North 500 West
ST-20530	USA	IA	Des Moines	50314	170 North 1100 East
BW-1065	USA	UT	Orem	84057	1801 Hickman Road
LA-16780	USA	OR	Hillsboro	97124	331 North 400 West
AB-10150	USA	NV	Las Vegas	89119	2875 Nw Stucki Ave
CM-12385	USA	UT	Orem	84057	"2075 East Flamingo Road,Fifth Floor"
BE-11410	USA	UT	Provo	84606	750 West 800 North
SZ-20035	USA	AZ	Phoenix	85008	1300 East Center Street
RM-19375	USA	IA	Iowa Falls	50126	501 North 24Th Street
HG-14845	USA	OH	Dayton	45439	110 Rocksylvania Avenue
DP-3105	USA	OH	Miamisburg	45342	5350 Lamme Road
AR-10540	USA	NV	Minden	89423	4000 Miamisburg-Centerville Road
TP-21415	USA	OH	Miamisburg	45342	"1649 Lucerne St,Unit A & B"
AM-10705	USA	OH	Dayton	45417	4000 Miamisburg-Centerville Road
AB-255	USA	OH	Dayton	45406	707 East Edwin C Moses Blvd
RP-19270	USA	OH	Mount Gilead	43338	2222 Philadelphia Drive
BK-11260	USA	OH	Zanesville	43701	651 West Marion Road
JM-15250	USA	UT	Brigham City	84302	2951 Maple Avenue
LW-16990	USA	UT	Tremonton	84337	950 South Medical Drive
NZ-18565	USA	UT	West Jordan	84081	905 North 1000 West
SV-10815	USA	UT	West Jordan	84088	5899 West Rivendell Drive
SC-20695	USA	NV	Mesquite	89027	3580 West 9000 South
NC-18625	USA	OH	Zanesville	43701	1299 Bertha Howe Avenue
NF-18385	USA	DC	Washington	20032	800 Forest Avenue
PM-18940	USA	AZ	Tucson	85707	1100 Alabama Avenue Se
MZ-17335	USA	NV	Owyhee	89832	Davis-Monthan Afb
HM-4980	USA	OR	Junction City	97448	1623 Hospital Loop
RW-19540	USA	NV	Elko	89801	29398 Recovery Way
LH-17155	USA	UT	Murray	84107	2001 Errecart Boulevard
KM-16660	USA	OH	Chillicothe	45601	5848 West Fashion Boulevard
AB-10060	USA	UT	Murray	84107	272 Hospital Road
DB-13060	USA	AZ	Mesa	85202	5121 South Cottonwood Street
VM-21685	USA	AZ	Phoenix	85006	1400 S. Dobson Rd.
DM-13525	USA	AZ	Mesa	85206	1111 East Mcdowell Road
NM-18520	USA	FL	Marianna	32446	6750 E. Baywood Ave.
RO-19780	USA	NV	Reno	89503	4250 Hospital Dr
SB-20185	USA	OH	Shelby	44875	235 West Sixth Street
EM-14065	USA	OH	Chillicothe	45601	199 West Main Street
RS-19765	USA	FL	Graceville	32440	17273 Oh-104
ON-18715	USA	OR	Baker City	97814	5429 College Dr
VS-21820	USA	NV	Carson City	89703	3325 Pocahontas Road
CM-12115	USA	OH	Bellevue	44811	1400 Medical Pkwy
TB-21400	USA	UT	Salt Lake City	84102	1400 West Main Street
AB-10105	USA	OR	Salem	97301	1050 East South Temple
DW-13540	USA	OR	Albany	97321	"890 Oak Street, Se"
PS-19045	USA	OR	Pendleton	97801	1046 6Th Avenue Sw
CC-12370	USA	NV	Silver Springs	89429	2801 St Anthony Way
TC-21295	USA	OR	Prineville	97754	3595 Hwy 50 West
GM-14440	USA	MN	St Paul	55101	384 Se Combs Flat Road
SV-20815	USA	OH	Fremont	43420	640 Jackson Street
MM-17920	USA	OH	Portsmouth	45662	715 South Taft Avenue
JK-16120	USA	UT	Salt Lake City	84108	1805 27Th Street
DJ-13510	USA	UT	Sandy	84094	500 Foothill Drive
AT-10435	USA	NV	Las Vegas	89117	9660 South 1300 East
AB-10015	USA	OR	Brookings	97415	7000 West Spring Mountain Road
RP-19390	USA	OR	Grants Pass	97527	"555 5Th Street,Suite 2"
MJ-17740	USA	UT	Sandy	84094	500 Sw Ramsey Avenue
PV-18985	USA	IA	Davenport	52806	8074 South 1300 East
SB-20290	USA	NV	North Las Vegas	89086	1111 West Kimberly Road
SM-10005	USA	OR	Portland	97220	6900 Pecos Rd
KH-16330	USA	NV	Reno	89502	10300 Ne Hancock Street
MP-18175	USA	NV	Las Vegas	89106	975 Kirman Avenue
LH-17020	USA	NV	Ely	89301	1700 Vegas Drive
ND-18370	USA	OH	Tiffin	44883	1500 Avenue 'H'
CR-12625	USA	OH	Sidney	45365	45 St Lawrence Drive
GM-14680	USA	OR	Ashland	97520	915 West Michigan Street
RA-19945	USA	OR	Bend	97701	280 Maple Street
BW-11110	USA	OR	Medford	97504	2500 Ne Neff Road
RF-19735	USA	IA	Sumner	50674	1111 Crater Lake Avenue
AG-10675	USA	NV	Las Vegas	89106	909 West 1St Street
DM-12955	USA	IN	Terre Haute	47802	620 Shadow Lane
KD-16270	USA	NV	Reno	89502	1420 E Crossing Blvd
BE-11335	USA	FL	Bonifay	32425	690 Edison Way
SO-20335	USA	UT	Salt Lake City	84112	2600 Hospital Dr
DK-12835	USA	UT	Salt Lake City	84103	50 North Medical Drive
LC-7050	USA	OH	Canton	44708	356 North Virginia Street
CG-12520	USA	UT	Salt Lake City	84108	1320 Mercy Drive Nw
TB-21280	USA	UT	West Valley City	84120	501 Chipeta Way
HG-15025	USA	UT	Salt Lake City	84113	3460 South Pioneer Parkway
AD-10180	USA	UT	Salt Lake City	84124	100 Mario Capecchi Drive
BP-11155	USA	UT	Midvale	84047	1200 East 3900 South
AA-10480	USA	UT	Draper	84020	7309 South 180 West
RL-19615	USA	UT	Riverton	84065	11925 S State St
CS-12505	USA	IA	Chariton	50049	3741 West 12600 South
SW-20245	USA	IA	Cedar Rapids	52403	1200 North 7Th Street
TA-21385	USA	OR	Burns	97720	701 Tenth Street Se
YC-21895	USA	IA	Anamosa	52205	557 W Washington Street
JM-15580	USA	UT	Provo	84604	104 Broadway Place
MZ-7335	USA	UT	Salt Lake City	84103	306 West River Bend Lane
JF-15295	USA	UT	Orem	84097	8Th Avenue C Street
JL-15835	USA	UT	Salt Lake City	84106	1350 East 750 North
DJ-3510	USA	UT	Milford	84751	3802 South 700 East
MF-18250	USA	UT	South Jordan	84095	850 North Main Street
JE-15610	USA	UT	Syracuse	84075	5126 West Daybreak Parkway
CP-12340	USA	UT	Murray	84107	2732 West 2700 South
EH-14125	USA	IA	Iowa City	52242	4252 S Birkhill Blvd
NC-18340	USA	IA	Iowa City	52245	200 Hawkins Drive
JS-16030	USA	UT	Lehi	84043	500 East Market Street
AM-10360	USA	UT	Delta	84624	3000 North Triumph Blvd
JF-15190	USA	UT	Fillmore	84631	126 South White Sage Avenue
JG-15160	USA	NY	Medina	14103	674 South State Highway 99
DP-13390	USA	UT	Gunnison	84634	200 Ohio St
AG-10330	USA	UT	Heber	84032	64 East 100 North Street
GK-14620	USA	UT	Moab	84532	1485 United States Highway 40
NF-18475	USA	UT	Monticello	84535	450 West Williams Way
DR-12940	USA	IN	Elkhart	46514	380 West 100 North
NB-18655	USA	OR	Gold Beach	97444	600 East Blvd
NM-18445	USA	OR	Coos Bay	97420	94220 Fourth Street
NP-18670	USA	OR	Coquille	97423	1775 Thompson Road
SC-20380	USA	OR	Se Bandon	97411	940 East 5Th Street
PA-9060	USA	OR	Reedsport	97467	900 11Th Street Se
RB-19570	USA	OR	Roseburg	97471	600 Ranch Road
SR-20740	USA	OR	Redmond	97756	2700 Nw Stewart Parkway
RH-19510	USA	OR	Ontario	97914	1253 N Canal Blvd
LH-16750	USA	OR	Lakeview	97630	351 Sw 9Th Street
KB-16585	USA	OR	Cottage Grove	97424	700 South J Street
EM-13810	USA	OR	Springfield	97477	1515 Village Drive Cottage
MZ-7515	USA	IN	Warsaw	46580	1460 G Street
DM-13345	USA	UT	Mount Pleasant	84647	1535 Provident Dr
CA-11965	USA	IN	Martinsville	46151	1100 South Medical Drive
SC-20305	USA	TX	Dallas	75243	2209 John R Wooden Dr
MH-18115	USA	VA	Pearisburg	24134	9525 Greenville Ave
KS-16300	USA	VA	Midlothian	23113	159 Hartley Way
BG-11740	USA	OR	Florence	97439	601 Watkins Centre Pkwy
CR-2625	USA	OR	Eugene	97401	400 9Th Street
CB-12415	USA	OR	Klamath Falls	97601	1255 Hilyard Street
AP-10720	USA	OR	Springfield	97477	2865 Daggett Avenue
CR-12820	USA	OR	Clackamas	97015	3333 Riverbend Drive
BF-11080	USA	OR	Tualatin	97062	10180 Se Sunnyside Road
JM-15265	USA	IN	Hobart	46342	19300 Sw 65Th Avenue
TW-21025	USA	IA	Oelwein	50662	101 W 61St Ave
RB-19330	USA	OR	Milwaukie	97222	201 8Th Avenue Southeast
JA-15970	USA	OR	Oregon City	97045	10150 Se 32Nd Avenue
AB-60	USA	AZ	Laveen	85339	1500 Division Street
JR-5670	USA	OR	Astoria	97103	7171 South 51St Avenue
MD-17350	USA	AZ	Gilbert	85297	2111 Exchange Street
PK-19075	USA	AZ	Tucson	85712	3555 South Val Vista Drive
TP-21130	USA	AK	Anchorage	99506	"2221 North Rosemont Boulevard,Bldg 3, Suite 200"
JK-15640	USA	AZ	Phoenix	85027	5955 Zeamer Ave.
CD-11920	USA	AK	Anchorage	99508	2545 West Quail Avenue
JL-5835	USA	AK	Anchorage	99508	1650 Bragaw Street
EP-13915	USA	AK	Cordova	99574	2530 Debarr Road
MS-17770	USA	OR	Seaside	97138	602 Chase Ave.
CM-12655	USA	AK	Anchorage	99503	725 S Wahanna Road
JC-6105	USA	AK	Bethel	99559	4800 Cordova Street
GB-14530	USA	OR	Portland	97225	700 Chief Eddie Hoffman Highway
JH-16180	USA	OR	Portland	97225	Sw Eastridge Street
MT-8070	USA	IN	Greenwood	46143	9205 Sw Barnes Road
CV-2805	USA	OR	Hillsboro	97123	607 S Greenwood Springs Dr
NH-18610	USA	IA	Cedar Falls	50613	335 Se 8Th Avenue
HJ-14875	USA	IN	Lafayette	47904	515 College Street
JL-15175	USA	MT	Dillon	59725	1501 Hartford St
MY-18295	USA	MS	Lousville	39339	600 Hwy 91 South
MW-18235	USA	IA	Waterloo	50702	923 South Church Street
KC-16540	USA	OR	The Dalles	97015	3421 West 9Th Street
HA-14920	USA	OH	Massillon	44646	1700 E 19Th Street
MT-17815	USA	OH	Alliance	44601	875 Eighth Street Ne
FW-14395	USA	OH	Canton	44710	200 East State Street
BH-11710	USA	OH	Massillon	44646	2000 Sixth Street
DK-12895	USA	OH	Canton	44710	2051 Wales Avenue Nw
SC-20845	USA	OR	Enterprise	97828	2600 Sixth Street Sw
CY-12745	USA	OR	La Grande	97850	601 Medical Parkway
HL-15040	USA	OR	Dallas	97338	900 Sunset Drive
CT-11995	USA	IA	Centerville	52544	525 Se Washington Street
GR-4560	USA	IA	Osage	50461	One St. Joseph Drive
TT-21070	USA	IA	Albia	52531	616 North 8Th Street
PO-19195	USA	IN	Mishawaka	46544	6580 165Th St
ED-13885	USA	SD	Eureka	57437	"215 W 4Th St,Ste 200"
TM-21490	USA	OR	Portland	97216	410 9Th Street
AW-10840	USA	OR	Portland	97227	10123 Se Market Street
AT-10735	USA	OR	Portland	97210	2801 N Gantenbein Avenue
SG-10605	USA	CT	Hartford	6112	"1015 Nw 22Nd Avenue, W121"
BM-11785	USA	CT	New Britain	6053	490 Blue Hills Ave
DK-13375	USA	OR	Gresham	97030	2150 Corbin Ave
PF-19225	USA	OR	Portland	97210	24800 Se Stark Street
TG-21310	USA	IA	Marshalltown	50158	"1015 Nw 22Nd Avenue, W121"
SF-10200	USA	OR	Portland	97223	Three South Fourth Avenue
JW-5220	USA	OR	Portland	97213	3181 Sw Sam Jackson Park Road
CC-12100	USA	OR	Portland	97239	4805 Ne Glisan Street
RD-19930	USA	SD	Mobridge	57601	3101 Sw Sam Jackson Park Road
BP-1230	USA	SD	Gregory	57533	1401 10Th Avenue West
CS-12175	USA	SD	Burke	57523	400 Park Avenue
JD-16060	USA	OH	Massillon	44648	809 Jackson Street
GH-14665	USA	OH	Akron	44308	3000 Erie Sw
CM-11935	USA	OH	Barberton	44203	214 W Bowery St
RB-9465	USA	OH	Akron	44310	155 5Th Street N E
RB-19795	USA	CT	Bridgeport	6606	444 North Main Street
DL-13495	USA	OR	Tillamook	97141	2800 Main St
TS-21205	USA	NY	Harrison	10528	1000 Third Street
MV-8190	USA	OH	Akron	44309	275 North St
BD-11560	USA	PA	Norristown	19401	525 East Market Street
PS-18760	USA	OH	Barberton	44203	1301 Powell Street
FM-14215	USA	SD	Armour	57313	"155 Fifth Street, Ne"
CA-12775	USA	SD	Freeman	57029	708 8Th Street
CD-12790	USA	OR	Hermiston	97838	510 East 8Th Street
NL-18310	USA	OR	Newberg	97132	610 Nw 11Th Street
TB-21055	USA	OR	Mcminnville	97128	1001 Providence Drive
EH-4125	USA	IN	Indianapolis	46250	2700 Se Stratus Ave
KB-16600	USA	OR	Heppner	97836	8075 N Shadeland Ave
KW-16435	USA	OR	Stayton	97383	564 E Pioneer Drive
MG-17695	USA	OR	Silverton	97381	1401 N 10Th Avenue
HM-14860	USA	OR	Corvallis	97330	342 Fairview Street
BP-11290	USA	OR	Lincoln City	97367	3600 Nw Samaritan Drive
HZ-4950	USA	OR	Newport	97365	3043 Ne 28Th Street
TC-20980	USA	OR	Lebanon	97355	930 Sw Abbey Street
EM-13825	USA	OR	Forest Grove	97116	525 N Santiam Highway
BS-11800	USA	IA	Hampton	50441	1809 Maple St
DV-13465	USA	AZ	Scottsdale	85260	1720 Central Avenue East Po Box 417
MB-17305	USA	AZ	Peoria	85381	9630 E Shea Blvd
PC-19000	USA	AZ	Phoenix	85012	13216 N. Plaza Del Rio Blvd
CA-12310	USA	AZ	Mesa	85206	40 East Indianola Ave
KC-16255	USA	AZ	Scottsdale	85260	6644 E. Baywood Ave.
DB-3660	USA	AZ	Phoenix	85008	11250 North 92Nd Street
SC-20260	USA	AZ	Phoenix	85031	2601 E Roosevelt
BD-11500	USA	AZ	Mesa	85209	5102 West Campbell Avenue
BM-11140	USA	AZ	Phoenix	85008	1301 S. Crismon Road
KB-16315	USA	AZ	Phoenix	85032	750 North 40Th Street
JM-15865	USA	CT	Danbury	6810	3929 East Bell Road
AF-10885	USA	CT	New London	6320	24 Hospital Ave
SJ-20500	USA	CT	Norwich	6360	365 Montauk Ave
WB-21850	USA	CT	Stafford Springs	6076	326 Washington St
CC-12610	USA	CT	Vernon	6066	201 Chestnut Hill Rd
BE-11455	USA	CT	Putnam	6260	31 Union St
TG-21640	USA	CT	Willimantic	6226	320 Pomfret Street
MS-17365	USA	SD	Eagle Butte	57625	112 Mansfield Ave
NP-18685	USA	AZ	Mesa	85203	317 Main Street
RM-19675	USA	AZ	Phoenix	85013	433 E. 6Th Street
SN-20560	USA	OR	Medford	97504	"350 West Thomas Road,3Rd Floor"
CD-12280	USA	AZ	Phoenix	15006	2825 E Barnett Road
BG-11035	USA	IN	Madison	47250	"1012 East Willetta,4Th Floor"
CC-12550	USA	AZ	Phoenix	85006	1 Kings Daughters Dr
SV-20785	USA	AZ	Phoenix	85015	1800 East Van Buren Street
HW-14935	USA	AZ	Phoenix	85018	6501 N. 19Th Ave.
AS-10285	USA	AZ	Goodyear	85338	3550 E. Pinchot Ave
LD-16855	USA	OH	Akron	44308	13677 W Mcdowell Road
NS-18505	USA	CT	New Haven	6511	200 East Market Street
CM-12715	USA	CT	Waterbury	6721	1450 Chapel St
JD-6060	USA	CT	Waterbury	6706	64 Robbins St
MG-17680	USA	CT	Meriden	6450	56 Franklin St
DB-13210	USA	CT	Milford	6460	435 Lewis Ave
CS-11860	USA	CT	New Haven	6504	300 Seaside Avenue
GG-14650	USA	CT	Derby	6418	20 York St
BN-11470	USA	AZ	Phoenix	85006	130 Division St
BS-1665	USA	CT	West Haven	6516	1800 E Van Buren Street
AC-10450	USA	CT	Hartford	6105	950 Campbell Avenue
CK-12205	USA	CT	Hartford	6102	114 Woodland Street
JD-16150	USA	CT	Manchester	6040	80 Seymour Street
CC-2550	USA	CT	Bristol	6010	71 Haynes St
MS-17830	USA	CT	New Britain	6050	Brewster Rd
SM-20950	USA	CT	Farmington	6032	100 Grand Street
CL-12700	USA	CT	Hartford	6106	263 Farmington Ave
CM-12160	USA	NM	Albuquerque	87106	282 Washington Street
JC-15775	USA	CT	Bridgeport	6610	2600 Marble Ave Ne
LH-16900	USA	CT	Greenwich	6830	267 Grant Street
DV-13045	USA	CT	West Hartford	6117	5 Perryridge Rd
BT-11530	USA	CT	Middletown	6457	1 Abrahms Boulevard
BM-1650	USA	CT	Sharon	6069	28 Crescent St
MG-18205	USA	CT	Torrington	6790	"50 Hospital Hill Road, Po Box 789"
RB-19705	USA	CT	New Milford	6776	540 Litchfield St
FC-14245	USA	FL	Fort Walton Beach	32547	21 Elm St
TT-21220	USA	FL	Live Oak	32060	1000 Mar-Walt Dr
SJ-20215	USA	FL	Lake City	32055	1100 Sw 11Th St
PB-18805	USA	FL	Lake City	32025	340 Nw Commerce Dr
RW-19690	USA	AZ	Scottsdale	85255	619 S Marion Ave
DB-3360	USA	SD	Webster	57274	17500 North Perimiter Drive
DK-13150	USA	AZ	Tucson	85710	1401 West First Street
RW-9540	USA	AZ	Tucson	85712	7220 East Rosewood Dr
MP-17470	USA	OH	Akron	44304	2650 North Wyatt
TB-21625	USA	AZ	Oro Valley	85755	29 North Adams Street
MO-17800	USA	SD	Gettysburg	57442	1551 E Tangerine Road
MR-17545	USA	FL	Jacksonville	32258	606 East Garfield Avenue
LC-17050	USA	FL	Jacksonville	32216	14550 Old Saint Augustine Rd
RA-19885	USA	SD	Clear Lake	57226	3625 University Blvd S
MG-8145	USA	FL	Chattahoochee	32324	701 3Rd Avenue South
JE-16165	USA	FL	Panama City	32401	100 N Main St
JK-16090	USA	SD	Britton	57430	615 N Bonita Ave
EM-13960	USA	NV	Carson City	89703	413 9Th Street
DJ-13420	USA	FL	Miramar Beach	32550	775 Fleischmann Way
BO-11425	USA	OH	Youngstown	44505	7800 Us Hwy 98 W
LW-17215	USA	AZ	Payson	85541	615 Churchill-Hubbard Rd
PJ-19015	USA	AZ	Flagstaff	86004	807 S. Ponderosa
KM-16720	USA	FL	Fernandina Beach	32034	2187 N. Vickey Street
BG-11695	USA	CT	Rocky Hill	6067	1250 S 18Th St
CS-12130	USA	HI	Honokaa	96727	287 West St
MC-17425	USA	NE	Atkinson	68713	45-547  Plumeria St
BD-1635	USA	NE	O'Neill	68763	406 W Neely St
RF-19345	USA	NE	Aurora	68818	300 North 2Nd St
MG-7680	USA	NE	Alma	68920	1423 Seventh St
KH-16690	USA	NY	Olean	14760	717 North Brown St
CC-12475	USA	PA	Lehighton	18235	515 Main St
LT-16765	USA	PA	Palmerton	18071	211 North 12Th Street
BF-10975	USA	PA	Latrobe	15650	135 Lafayette Avenue
CJ-12010	USA	IA	Webster City	50595	1 Mellon Way
SH-9975	USA	IA	Winterset	50273	2350 Hospital Drive
SL-20155	USA	NV	Sparks	89434	300 West Hutchings Street
NC-8340	USA	PA	Monongahela	15063	2375 East Prater Way
JB-5400	USA	PA	Washington	15301	1163 Country Club Road
TB-21250	USA	PA	Honesdale	18431	100 Trich Drive
PS-18970	USA	PA	Waymart	18472	601 Park Street
BB-11545	USA	NV	Incline Village	89451	Po Box 256
SG-10470	USA	PA	Washington	15301	880 Alder Avenue
SP-20920	USA	PA	Canonsburg	15317	155 Wilson Avenue
Dp-13240	USA	PA	Sayre	18840	100 Medical Boulevard
GZ-14470	USA	MN	New Ulm	56073	One Guthrie Square
AH-10075	USA	MN	Sleepy Eye	56085	1324 Fifth Street North
CB-2025	USA	PA	Doylestown	18901	400 - 4Th Ave Nw
SC-20050	USA	NY	Syracuse	13203	833 East Butler Avenue
SC-10230	USA	PA	Langhorne	19114	301 Prospect Ave
JS-15595	USA	PA	Bristol	19007	380 North Oxford Valley Road
BS-11380	USA	PA	Reading	19601	501 Bath Road
JL-5130	USA	PA	Langhorne	19047	145 North 6Th Street
AS-10090	USA	NE	Red Cloud	68970	280 Middletown Boulevard
EL-13735	USA	NE	Henderson	68371	621 N Franklin St
FH-14275	USA	NE	York	68467	1621 Front Street
OT-18730	USA	NE	Benkelman	69021	2222 North Lincoln Ave
SM-10320	USA	NE	Fremont	68025	1313 North Cheyenne St
PM-19135	USA	PA	Altoona	16602	450 East 23Rd St
TS-11430	USA	PA	Tyrone	16686	2005 Valley View Boulevard
LS-17245	USA	PA	York	17405	187 Hospital Drive
SF-20200	USA	PA	Roaring Spring	16673	"1001 S George Street,5Th Floor"
CM-11815	USA	PA	Reading	19607	105 Nason Drive
FG-14260	USA	NE	Omaha	68105	1623 Morgantown Road
KN-6705	USA	PA	York	17402	4102 Woolworth Ave
TB-11520	USA	NE	West Point	68788	1861 Powder Mill Road
JB-15400	USA	NE	Valentine	69201	430 North Monitor St
KH-16510	USA	NE	Omaha	68114	510 North Green St
DL-13330	USA	NE	Omaha	68124	7915 Farnam Drive
KN-16390	USA	PA	Wyomissing	19610	1870 South 75Th Street
SV-20935	USA	PA	York	17405	2752 Century Boulevard
MD-17860	USA	PA	Tunkhannock	18657	1001 South George Street
LS-17200	USA	PA	Everett	15537	880 Sr 6
CM-12445	USA	NE	Sidney	69162	10455 Lincoln Highway
SS-20140	USA	PA	Beaver	15009	645 Osage St
GH-14425	USA	NE	Osceola	68651	1000 Dutch Ridge Road
SM-20320	USA	NE	Mccook	69001	531 Beebe St
GR-14560	USA	NE	Bassett	68714	1301 East H St
TS-21370	USA	NE	Falls City	68355	102 East South Street
DH-3675	USA	NE	Columbus	68601	2307 Barada St
MM-8280	USA	PA	Beaver	15009	4600 38Th St
PM-9135	USA	PA	Kittanning	16201	1000 Dutch Ridge Road
GP-4740	USA	PA	Pittsburgh	15213	One Nolte Drive
AF-10870	USA	PA	Mckeesport	15132	200 Lothrop Street
TS-21505	USA	PA	Pittsburgh	15217	1500 Fifth Avenue  6 Crawford
BM-11575	USA	PA	Oakdale	15071	6301 Northumberland Street
AH-10030	USA	PA	Mckees Rocks	15136	7777 Steubenville Pike
AG-10495	USA	PA	Pittsburgh	15215	25 Heckel Road
AG-675	USA	PA	Pittsburgh	15241	815 Freeport Road
SW-20755	USA	PA	Pittsburgh	15212	2575 Boyce Plaza Road
SK-19990	USA	PA	Sewickley	15143	1004 Arch Street
AG-10900	USA	PA	Pittsburgh	15224	303 Camp Meeting Road
AJ-960	USA	PA	Pittsburgh	15224	4800 Friendship Avenue
MC-7275	USA	PA	Pittsburgh	15243	One Childrens Hospital Dr  4401 Penn Ave
ER-13855	USA	PA	Pittsburgh	15219	1000 Bower Hill Road
EJ-13720	USA	PA	Pittsburgh	15213	1400 Locust Street
DH-13675	USA	PA	Monroeville	15146	200 Lothrop Street
HE-14800	USA	NE	David City	68632	2570 Haymaker Road
KT-16480	USA	NE	Oakland	68045	372 South 9Th St
SB-20170	USA	NE	Chadron	69337	601 East Second St
EM-14140	USA	NE	Imperial	69033	825 Centennial Drive
VT-21700	USA	NE	Gothenburg	69138	600 W 12Th St
JS-15880	USA	PA	Pittsburgh	15238	910 20Th St
BC-11125	USA	PA	Pittsburgh	15212	Guys Run Road
NF-18595	USA	PA	Pittsburgh	15213	320 East North Avenue
RH-9600	USA	MO	Blue Springs	64014	300 Halket Street
CS-11950	USA	PA	Mckeesport	15132	201 West R.D. Mize Rd
CM-12235	USA	PA	Pittsburgh	15236	1500 Fifth Avenue
LW-16825	USA	PA	Natrona Heights	15065	565 Coal Valley Road  P O Box 18119
